nid,changed_date,next_changed_date,field_value_old,field_value_new
53640,2018-12-17 20:30:00,2019-01-07 17:00:00,"",green
53640,2019-01-07 17:00:00,2019-02-07 15:30:01,green,amber
53640,2019-02-07 15:30:01,2019-02-14 14:00:00,amber,green
53640,2019-02-14 14:00:00,2019-02-18 09:30:00,green,amber
53640,2019-02-18 09:30:00,2019-02-27 15:30:01,amber,green
53640,2019-02-27 15:30:01,2019-03-04 14:00:01,green,amber
53640,2019-03-04 14:00:01,,amber,red
53641,2018-12-17 20:30:00,2019-01-07 17:00:00,"",green
53641,2019-01-07 17:00:00,2019-01-28 17:00:01,green,amber
53641,2019-01-28 17:00:01,2019-01-30 10:30:01,amber,green
53641,2019-01-30 10:30:01,2019-02-11 14:00:00,green,amber
53641,2019-02-11 14:00:00,2019-02-28 14:00:01,amber,green
53641,2019-02-28 14:00:01,2019-03-04 14:00:01,green,amber
53641,2019-03-04 14:00:01,,amber,red
53642,2018-12-18 17:00:00,,"",green
53643,2018-12-18 17:00:00,2018-12-28 17:00:00,"",green
53643,2018-12-28 17:00:00,2019-01-23 17:00:01,green,amber
53643,2019-01-23 17:00:01,2019-01-24 10:30:01,amber,green
53643,2019-01-24 10:30:01,2019-02-05 17:00:09,green,amber
53643,2019-02-05 17:00:09,2019-02-11 12:30:00,amber,green
53643,2019-02-11 12:30:00,2019-03-12 04:00:01,green,amber
53643,2019-03-12 04:00:01,2019-03-21 11:43:14,amber,green
53643,2019-03-21 11:43:14,2019-03-22 14:00:01,green,amber
53643,2019-03-22 14:00:01,2019-03-28 04:00:00,amber,green
53643,2019-03-28 04:00:00,2019-04-23 14:30:01,green,amber
53643,2019-04-23 14:30:01,,amber,green
53644,2018-12-18 20:30:01,,"",green
53645,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53645,2019-02-15 15:30:01,2019-02-19 04:00:01,green,amber
53645,2019-02-19 04:00:01,,amber,green
53646,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53646,2019-02-15 15:30:01,2019-02-20 14:00:01,green,amber
53646,2019-02-20 14:00:01,,amber,green
53647,2018-12-19 17:00:00,2018-12-27 10:30:00,"",amber
53647,2018-12-27 10:30:00,,amber,red
53648,2018-12-19 17:00:00,2019-01-07 17:00:00,"",green
53648,2019-01-07 17:00:00,2019-01-08 10:30:01,green,amber
53648,2019-01-08 10:30:01,2019-02-15 15:30:01,amber,green
53648,2019-02-15 15:30:01,2019-03-12 04:00:01,green,amber
53648,2019-03-12 04:00:01,2019-03-13 11:00:03,amber,green
53648,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53648,2019-03-15 11:00:00,,amber,green
53649,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53649,2019-02-15 15:30:01,2019-03-26 06:30:00,green,amber
53649,2019-03-26 06:30:00,,amber,green
53650,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53650,2019-02-15 15:30:01,2019-03-26 06:30:00,green,amber
53650,2019-03-26 06:30:00,,amber,green
53651,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53651,2019-02-15 15:30:01,2019-03-26 06:30:00,green,amber
53651,2019-03-26 06:30:00,,amber,green
53652,2018-12-19 17:00:00,2019-01-07 17:00:00,"",green
53652,2019-01-07 17:00:00,2019-01-16 10:30:01,green,amber
53652,2019-01-16 10:30:01,2019-02-15 15:30:01,amber,green
53652,2019-02-15 15:30:01,2019-02-20 04:00:02,green,amber
53652,2019-02-20 04:00:02,,amber,green
53653,2018-12-19 17:00:00,2019-02-15 15:30:01,"",green
53653,2019-02-15 15:30:01,2019-03-26 06:30:00,green,amber
53653,2019-03-26 06:30:00,,amber,green
53654,2018-12-19 17:00:00,2018-12-28 10:30:00,"",green
53654,2018-12-28 10:30:00,2019-01-23 09:47:43,green,amber
53654,2019-01-23 09:47:43,2019-01-27 17:00:01,amber,green
53654,2019-01-27 17:00:01,2019-02-12 15:30:01,green,amber
53654,2019-02-12 15:30:01,2019-03-13 11:00:03,amber,green
53654,2019-03-13 11:00:03,2019-03-26 04:00:01,green,amber
53654,2019-03-26 04:00:01,,amber,green
53655,2018-12-19 17:00:00,2019-01-03 10:30:00,"",green
53655,2019-01-03 10:30:00,2019-01-23 09:47:43,green,amber
53655,2019-01-23 09:47:43,2019-02-15 15:30:01,amber,green
53655,2019-02-15 15:30:01,,green,amber
53656,2018-12-19 17:00:00,2019-01-02 17:00:00,"",green
53656,2019-01-02 17:00:00,2019-01-17 04:00:01,green,amber
53656,2019-01-17 04:00:01,,amber,red
53657,2018-12-19 17:00:00,2019-01-17 04:00:01,"",green
53657,2019-01-17 04:00:01,,green,red
53658,2018-12-19 17:00:00,2019-01-02 17:00:00,"",green
53658,2019-01-02 17:00:00,2019-01-17 04:00:01,green,amber
53658,2019-01-17 04:00:01,,amber,red
53659,2018-12-19 17:00:00,2019-01-02 17:00:00,"",green
53659,2019-01-02 17:00:00,2019-01-17 04:00:01,green,amber
53659,2019-01-17 04:00:01,,amber,red
53660,2018-12-19 17:00:00,2019-01-17 04:00:01,"",green
53660,2019-01-17 04:00:01,,green,red
53661,2018-12-19 17:00:00,2019-01-03 17:00:01,"",green
53661,2019-01-03 17:00:01,2019-01-14 10:30:01,green,amber
53661,2019-01-14 10:30:01,2019-02-23 04:00:01,amber,green
53661,2019-02-23 04:00:01,2019-02-26 09:30:01,green,amber
53661,2019-02-26 09:30:01,,amber,green
53662,2018-12-19 17:00:00,2019-03-14 04:00:01,"",green
53662,2019-03-14 04:00:01,2019-04-03 14:30:00,green,amber
53662,2019-04-03 14:30:00,2019-04-04 11:30:00,amber,green
53662,2019-04-04 11:30:00,2019-04-29 14:30:04,green,amber
53662,2019-04-29 14:30:04,2019-05-02 14:30:01,amber,green
53662,2019-05-02 14:30:01,2019-05-30 13:00:05,green,amber
53662,2019-05-30 13:00:05,,amber,green
53663,2018-12-19 17:00:00,2018-12-27 17:00:00,"",green
53663,2018-12-27 17:00:00,2018-12-28 17:00:00,green,amber
53663,2018-12-28 17:00:00,2019-01-07 17:00:00,amber,green
53663,2019-01-07 17:00:00,2019-01-10 10:30:00,green,amber
53663,2019-01-10 10:30:00,,amber,red
53664,2018-12-19 17:00:00,2019-01-23 09:47:43,"",green
53664,2019-01-23 09:47:43,2019-02-06 14:00:01,green,amber
53664,2019-02-06 14:00:01,2019-03-20 15:30:01,amber,green
53664,2019-03-20 15:30:01,2019-03-26 14:00:01,green,amber
53664,2019-03-26 14:00:01,,amber,green
53665,2019-01-03 17:00:01,2019-01-17 17:00:01,"",green
53665,2019-01-17 17:00:01,2019-01-29 17:00:01,green,amber
53665,2019-01-29 17:00:01,2019-05-21 14:30:00,amber,green
53665,2019-05-21 14:30:00,2019-06-04 11:30:07,green,amber
53665,2019-06-04 11:30:07,,amber,green
53666,2019-01-03 17:00:01,2019-01-23 09:47:43,"",green
53666,2019-01-23 09:47:43,2019-01-28 20:30:02,green,amber
53666,2019-01-28 20:30:02,2019-01-30 20:30:02,amber,red
53666,2019-01-30 20:30:02,2019-02-15 04:00:02,red,green
53666,2019-02-15 04:00:02,2019-02-16 04:00:02,green,amber
53666,2019-02-16 04:00:02,2019-05-14 14:30:05,amber,green
53666,2019-05-14 14:30:05,2019-05-20 08:30:00,green,amber
53666,2019-05-20 08:30:00,,amber,green
53667,2019-01-03 17:00:01,2019-01-28 20:30:02,"",green
